C�digo do Cliente;Nome Fantasia;CNPJ;Regi�o (DF);Segmenta��o;Setor;Data de Cadastro;Representante;Dia de Visita;Frequ�ncia de Visita;Qtd Equipamentos (Freezers);Tipo de Pagamento;Prazo Boleto (Dias);Limite de Cr�dito (R$);Telefone Contato;E-mail Contato;Comprou no M�s;Status;Latitude;Longitude
CLI-0001;Cardoso Mercado;59.436.172/0001-55;Vicente Pires;Supermercado;008;05/04/2025;Roberto Lima;Quarta-feira;Semanal;3;PIX;0;5857,47;19 93606-6104;rhavi06@guerra.com;N�o;Ativo;-15,647403;-47,711207
CLI-0002;Foga�a Distribuidora;16.483.290/0001-01;Samambaia;Bar/Botequim;010;17/03/2025;Mariana Souza;Sexta-feira;Semanal;0;Boleto;28;18842,34;+55 37 93608-6990;laravasconcelos@abreu.gov.br;N�o;Ativo;-15,533796;-48,249299
CLI-0003;Fernandes - ME Mercado;10.352.467/0001-54;Taguatinga;Conveni�ncia;007;22/06/2026;Juliana Alves;Segunda-feira;Mensal;4;Boleto;28;21656,52;+55 86 93803-9690;abreujoana@cunha.com.br;Sim;Ativo;-15,848501;-47,839537
CLI-0004;Vasconcelos S.A. Restaurante;48.057.612/0001-47;Sobradinho;Restaurante;005;08/05/2025;Mariana Souza;Quinta-feira;Mensal;3;Boleto;28;5149,3;24 96912-8422;henry40@vasconcelos.com;Sim;Ativo;-15,531789;-47,743041
CLI-0005;Ribeiro Rodrigues S/A Restaurante;53.120.697/0001-09;Gama;Emp�rio;001;29/03/2026;Juliana Alves;Sexta-feira;Mensal;1;Boleto;7;27354,52;+55 16 90389-4221;fonsecapietro@farias.net;N�o;Ativo;-15,907671;-47,65373
CLI-0006;Melo Pacheco - ME Distribuidora;43.705.269/0001-86;Sudoeste/Octogonal;Conveni�ncia;002;10/02/2026;Mariana Souza;Sexta-feira;Semanal;1;PIX;0;19349,53;+55 42 97954-4840;sampaioarthur-miguel@porto.gov.br;;Prospec��o;-15,721155;-47,420313
CLI-0007;Moraes Bar;71.368.250/0001-27;Plano Piloto;Bar/Botequim;003;16/08/2024;Carlos Eduardo;Segunda-feira;Mensal;2;PIX;0;7760,64;+55 11 97297-4111;kevin93@moraes.br;Sim;Ativo;-15,716131;-48,001601
CLI-0008;Nascimento Restaurante;19.346.507/0001-20;Sobradinho;Conveni�ncia;008;25/03/2025;Carlos Eduardo;Quinta-feira;Quinzenal;0;PIX;0;0;+55 66 99941-6196;anamendes@martins.edu.br;N�o;Inativo;-15,716722;-47,416329
CLI-0009;Rios Mercado;16.734.598/0001-82;Taguatinga;Bar/Botequim;001;04/10/2023;Carlos Eduardo;Quarta-feira;Semanal;4;Boleto;30;20083,42;43 95664-2565;maysa94@fogaca.com.br;N�o;Ativo;-15,648717;-47,676198
CLI-0010;Rocha - EI Distribuidora;50.124.873/0001-84;Taguatinga;Bar/Botequim;002;23/08/2025;Carlos Eduardo;Quinta-feira;Quinzenal;4;Boleto;7;0;54 90117-9129;joao-miguel07@ferreira.br;N�o;Inativo;-15,659135;-48,150198
